airport,airport_iata,country,city,rental_length,start_date,start_time,return_date,return_time,date_offset,deposit_price,drive_away_price,price,currency,product_name,product_id,airbags,aircon,free_cancellation,doors,group,seats,fuel_type,transmission,mileage,supplier_name,supplier_address,supplier_loction_type,average,average_text,cleanliness,condition,dropoff_time,efficiency,location,pickup_time,value_for_money,no_of_ratings,RunDate,setup_prams,tid
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,75.00,75.00,75.00,GBP,Fiat 500,728723191,1,1,1,4,Mini,5,N/A,Manual,200 miles per rental,Surprice,"Heathrow Airport, 450 Bath Road, London, UK, UB7 0EB",Meet & Greet,5.60,,7.00,7.00,5.50,6.30,4.50,4.00,6.10,210,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269268
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,85.62,85.62,85.62,GBP,Kia Rio,691529366,1,1,1,4,Economy,5,N/A,Manual,200 miles per rental,Green Motion,"239 Sipson Road, Holiday Inn London, London, UK, UB7 0HW",Shuttle Bus,6.90,Good,7.70,7.90,8.60,6.90,5.80,5.60,6.60,4909,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269269
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,95.56,95.56,95.56,GBP,Kia Stonic,691529536,1,1,1,4,Compact,5,N/A,Manual,200 miles per rental,Green Motion,"239 Sipson Road, Holiday Inn London, London, UK, UB7 0HW",Shuttle Bus,6.90,Good,7.70,7.90,8.60,6.90,5.80,5.60,6.60,4909,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269270
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,90.64,90.64,90.64,GBP,Seat Leon,691529351,1,1,1,4,Compact,5,N/A,Manual,200 miles per rental,Green Motion,"239 Sipson Road, Holiday Inn London, London, UK, UB7 0HW",Shuttle Bus,6.90,Good,7.70,7.90,8.60,6.90,5.80,5.60,6.60,4909,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269271
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,109.60,109.60,109.60,GBP,Honda CR-V,691529441,1,1,1,4,Intermediate,5,N/A,Manual,200 miles per rental,Green Motion,"239 Sipson Road, Holiday Inn London, London, UK, UB7 0HW",Shuttle Bus,6.90,Good,7.70,7.90,8.60,6.90,5.80,5.60,6.60,4909,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269272
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,90.62,90.62,90.62,GBP,Volkswagen Golf,728723216,1,1,1,4,Compact,5,N/A,Manual,200 miles per rental,Surprice,"Heathrow Airport, 450 Bath Road, London, UK, UB7 0EB",Meet & Greet,5.60,,7.00,7.00,5.50,6.30,4.50,4.00,6.10,210,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269273
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,112.16,112.16,112.16,GBP,Nissan Qashqai,699298791,1,1,1,4,Intermediate,5,N/A,Manual,400 miles per rental,Keddy By Europcar,"Northern Perimeter Road West, Hounslow, London, UK, TW6 2QE",Shuttle Bus,8.40,Excellent,8.80,8.30,9.60,8.80,8.50,7.60,7.80,2071,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269274
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,114.30,136.02,114.30,GBP,Nissan Qashqai   ,738669556,1,1,1,4,Intermediate,5,N/A,Manual,Unlimited mileage,Europcar,"Northern Perimeter Road West, Hounslow, London, UK, TW6 2QE",Shuttle Bus,8.50,Excellent,8.90,8.70,9.60,8.80,8.90,7.50,7.30,5966,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269275
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,107.91,107.91,107.91,GBP,Ford Mondeo,691529431,1,1,1,5,Standard,5,N/A,Manual,200 miles per rental,Green Motion,"239 Sipson Road, Holiday Inn London, London, UK, UB7 0HW",Shuttle Bus,6.90,Good,7.70,7.90,8.60,6.90,5.80,5.60,6.60,4909,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269276
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,125.64,149.51,125.64,GBP,Kia Sportage,745686606,1,1,1,5,Standard,5,N/A,Manual,Unlimited mileage,Europcar,"Northern Perimeter Road West, Hounslow, London, UK, TW6 2QE",Shuttle Bus,8.50,Excellent,8.90,8.70,9.60,8.80,8.90,7.50,7.30,5966,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269277
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,93.83,93.83,93.83,GBP,Vauxhall Corsa,699254971,1,1,1,4,Economy,5,N/A,Manual,400 miles per rental,Keddy By Europcar,"Northern Perimeter Road West, Hounslow, London, UK, TW6 2QE",Shuttle Bus,8.40,Excellent,8.80,8.30,9.60,8.80,8.50,7.60,7.80,2071,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269278
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,151.68,151.68,151.68,GBP,Nissan Qashqai   ,712385081,1,1,1,4,Intermediate,5,N/A,Manual,Unlimited mileage,Alamo,"Northern Perimeter Road, Hounslow, London, UK, TW6 2RY",Shuttle Bus,8.10,Excellent,8.40,8.20,9.10,8.20,8.10,7.70,7.40,2627,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269279
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,118.30,118.30,118.30,GBP,Polestar 2,740439691,1,1,1,5,Premium,5,N/A,Automatic,600 miles per rental,Hertz,"Northern Perimeter Road, Hounslow, London, UK, TW6 2QD",Shuttle Bus,7.80,Very good,8.80,8.70,8.80,7.60,8.00,6.00,7.40,3146,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269280
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,117.35,139.65,117.35,GBP,Vauxhall Crossland X,738651026,1,1,1,4,Compact,5,N/A,Manual,Unlimited mileage,Europcar,"Northern Perimeter Road West, Hounslow, London, UK, TW6 2QE",Shuttle Bus,8.50,Excellent,8.90,8.70,9.60,8.80,8.90,7.50,7.30,5966,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269281
